Name,Estimate,SE,tStat,DF,pValue,Lower,Upper,Significant,IsInteraction
VGF:noiseColor:samplingRate,-1.33918879498497e-06,1.29098424186834e-06,-1.03656131716497,17458343,0.300073960174403,-3.86946853095026e-06,1.19109094098033e-06,0,1
filterType_6:noiseColor:samplingRate,-7.23219791064384e-06,1.84131446650393e-06,-3.92771455867399,17458343,8.56027249636655e-05,-1.08411592440509e-05,-3.62323757823678e-06,1,1
regressionType_4:noiseColor:samplingRate,1.01461397157918e-05,1.84131446650393e-06,5.51038742437063,17458343,3.58561741085344e-08,6.53744141526419e-06,1.37548380163194e-05,1,1
regressionType_5:noiseColor:samplingRate,1.51018993779419e-05,1.84260898572019e-06,8.19605527060427,17458343,2.52491427977827e-16,1.14905017527357e-05,1.87132970031481e-05,1,1
betaGenerated:noiseColor:filterType_6,-0.00472571949553524,0.000313086477929001,-15.0932023344025,17458343,1.48289905680027e-51,-0.00533951558527776,-0.00411192340579272,1,1
VGF:noiseColor:filterType_6,-0.000540777249718248,0.000307959636085501,-1.75598843748375,17458343,0.079179895847584,-0.00114436974022895,6.28152423644461e-05,0,1
regressionType_4:noiseColor:filterType_6,0.00120965720820247,0.000423876741543741,2.8538133095282,17458343,0.00431688617117836,0.000378964434757655,0.00204035098164729,1,1
regressionType_5:noiseColor:filterType_6,0.00122665505553791,0.000424318073028826,2.89100174060348,17458343,0.00384074773889684,0.000394980428580567,0.00205833968249525,1,1
betaGenerated:noiseColor:regressionType_4,0.00267869455481741,0.000313086477929001,8.55874447148065,17458343,1.15561601085849e-17,0.00206504346007489,0.00329234564955993,1,1
betaGenerated:noiseColor:regressionType_5,0.00304040090068614,0.000313481428979042,9.70479498001748,17458343,2.96490688862576e-22,0.00242597953289721,0.00365482226847507,1,1
VGF:noiseColor:regressionType_4,0.000807483619765497,0.000307959636085501,2.62202374218424,17458343,0.00873738289497116,0.000203887722077538,0.00141107951745346,1,1
VGF:noiseColor:regressionType_5,0.000558052803742217,0.000308394867783127,1.80944929695777,17458343,0.0704128918898523,-4.62144067408085e-05,0.00116231967489252,0,1
noiseMagnitude:noiseColor:samplingRate,1.96497803283978e-05,1.30726948437875e-06,15.0307869965753,17458343,5.12023993024694e-51,1.70695726312327e-05,2.22299880255628e-05,1,1
noiseMagnitude:noiseColor:filterType_6,-0.00165753082019703,0.000300801661095847,-5.51044534038485,17458343,3.57998183406736e-08,-0.00224709128549798,-0.00106797035489608,1,1
noiseMagnitude:noiseColor:regressionType_4,0.00614090555882427,0.000300801661095847,20.4142022264117,17458343,3.39451891716843e-92,0.0055517850935153,0.00673002602413323,1,1
noiseMagnitude:noiseColor:regressionType_5,0.00578009073044143,0.000300932481225994,19.2077946779491,17458343,5.08019068217756e-82,0.00519026229898369,0.00636991916189917,1,1
